id,camera_id
881,159
882,160
883,160
884,160
885,161
886,161
887,161
888,162
889,163
890,163
891,163
892,164
893,164
894,164
895,165
896,165
897,165
898,166
899,166
900,166
901,167
902,167
903,167
904,168
905,168
906,168
907,169
908,170
909,170
910,170
911,171
912,171
913,171
914,172
915,172
916,172
917,173
918,173
919,173
920,174
921,174
922,174
923,175
924,175
925,175
926,176
927,176
928,176
929,177
930,177
931,177
932,179
933,179
934,179
935,180
936,180
937,180
938,181
939,181
940,181
941,182
942,182
943,182
944,183
945,183
946,183
947,184
948,184
949,184
950,185
951,185
952,185
953,186
954,186
955,186
956,187
957,187
958,187
959,188
960,188
961,188
962,191
963,191
964,191
965,193
966,193
967,194
968,194
969,194
970,195
971,195
972,195
973,196
974,196
975,196
976,197
977,197
978,197
979,198
980,198
981,198
982,199
983,199
984,199
985,200
986,200
987,200
988,203
989,203
990,203
991,204
992,204
993,204
994,207
995,207
996,207
997,208
998,208
999,208
1000,209
1001,209
1002,209
1003,211
1004,212
1005,212
1006,212
1007,213
1008,213
1009,213
1010,214
1011,214
1012,214
1013,215
1014,215
1015,215
1016,216
1017,216
1018,216
1019,218
1020,218
1021,218
1022,221
1023,221
1024,221
1025,222
1026,222
1027,222
1028,223
1029,223
1030,223
1031,225
1032,225
1033,225
1034,226
1035,226
1036,226
1037,227
1038,227
1039,228
1040,228
1041,228
1042,229
1043,229
1044,229
1045,230
1046,230
1047,230
1048,128
1049,128
1050,128
1051,129
1052,129
1053,129
1054,130
1055,130
1056,130
1057,131
1058,131
1059,131
1060,132
1061,132
1062,132
1063,133
1064,133
1065,133
1066,134
1067,134
1068,134
1069,135
1070,135
1071,135
1072,137
1073,137
1074,137
1075,138
1076,138
1077,138
1078,139
1079,139
1080,139
1081,140
1082,140
1083,140
1084,141
1085,141
1086,141
1087,147
1088,147
1089,147
1090,148
1091,148
1092,148
1093,149
1094,149
1095,149
1096,150
1097,150
1098,150
1099,151
1100,151
1101,152
1102,152
1103,152
1104,382
1105,382
1106,382
1107,302
1108,302
1109,307
1110,307
1111,307
1112,301
1113,301
1114,301
1115,303
1116,303
1117,303
1118,NULL
1119,NULL
1120,NULL
1121,306
1122,306
1123,306
1124,304
1125,304
1126,304
1127,305
1128,305
1129,305
1130,338
1131,338
1132,338
1133,219
1134,219
1135,220
1136,220
1137,220
1138,217
1139,217
1140,217
1141,153
1142,153
1143,153
1144,313
1145,313
1146,313
1147,224
1148,224
1149,224
1150,NULL
1151,NULL
1152,NULL
1153,210
1154,210
1155,210
1156,205
1157,205
1158,205
1159,NULL
1160,201
1161,201
1162,201
1163,202
1164,202
1165,202
1166,142
1167,142
1168,142
1169,445
1170,445
1171,445
1172,192
1173,192
1174,192
1175,143
1176,143
1177,145
1178,145
1179,446
1180,446
1181,446
1182,447
1183,447
1184,447
1185,448
1186,448
1187,448
1188,449
1189,449
1190,449
1191,450
1192,450
1193,450
1194,144
1195,144
1196,144
1197,413
1198,413
1199,146
1200,146
1201,146
1202,412
1203,412
1204,136
1205,136
1206,136
1207,316
1208,316
1209,324
1210,324
1211,237
1212,237
1213,423
1214,423
1215,178
1216,178
1217,178
1218,254
1219,254
1220,254
1221,235
1222,235
1223,235
1224,274
1225,274
1226,274
1227,262
1228,262
1229,156
1230,156
1231,444
1232,444
1233,451
1234,451
1235,452
1236,452
1237,452
1238,453
1239,453
1240,453
1241,454
1242,454
1243,454
1244,455
1245,455
1246,455
1247,456
1248,456
1249,456
1250,457
1251,457
1252,457
1253,458
1254,458
1255,459
